Latitude,Longitude,Altitude (m),Resolution (m),Bearing (degrees)
13.04313,80.062708,29.6,110.541854,242.59934
13.042675,80.061807,29.6,109.935718,240.52079
13.04179,80.0602,31.5,199.970363,243.907623
13.04154,80.059676,32.6,63.204704,246.71891
13.041151,80.058748,32.7,109.438276,248.645342
13.040796,80.057816,32,108.403439,247.695573
13.040121,80.056127,30,197.761529,247.825718
13.040094,80.056059,30,7.954589,244.91371
13.039741,80.055285,30.3,92.578491,246.818525
13.039401,80.05447,29.4,96.041257,247.849496
13.038586,80.052415,27.8,240.353196,249.564834
13.03797,80.050718,25.5,196.179288,251.336622
13.037636,80.049703,25,116.056301,251.843247
13.037459,80.049149,26.5,63.158899,253.903886
13.037319,80.048651,25.9,56.148838,255.625423
13.036928,80.047085,25,175.125585,254.846974
13.036723,80.046308,25,87.203567,253.824791
13.036478,80.045441,25,97.792479,252.722064
13.035948,80.043692,25,198.421662,249.896312
13.03581,80.043305,27.7,44.643493,246.831702
13.035263,80.041993,28.6,154.596113,242.533585
13.034633,80.040749,35.5,151.882329,238.258984
13.033189,80.038353,35.4,305.208469,239.699319
13.032495,80.037134,34,152.949789,242.543286
13.032373,80.036893,34.3,29.421829,237.987809
13.031943,80.036187,35.1,90.197585,238.90369
13.030414,80.033585,40,329.182538,239.261445
13.029673,80.032306,39,161.204542,237.793345
13.028032,80.029632,36,342.360344,237.618057
13.026268,80.026777,30,366.244424,237.562365
13.02412,80.023308,31,445.28798,238.309174
13.023246,80.021855,30.3,184.99403,242.969417
13.023076,80.021513,30.4,41.594116,246.39698
13.022927,80.021163,30,41.378942,250.784411
13.022782,80.020736,29.4,48.988363,255.268438
13.022616,80.020088,29.1,72.587263,260.309159
13.02252,80.019511,29.3,63.414289,264.842951
13.022383,80.017953,24.4,169.472299,262.335444
13.022316,80.017442,24.1,55.858361,257.151356
13.022246,80.017127,24.1,35.002035,252.306572
13.022154,80.016831,24.1,33.659473,244.320182
13.022102,80.01672,24,13.343129,244.369688
13.02198,80.016459,25.8,31.361381,239.723835
13.021765,80.016081,25.4,47.418439,235.617667
